Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-18 22:04:03,b'\xc2\xa9 misi yang harus ia emban. Apanya yang melindungi hutan? Apanya yang menghentikan aksi penebangan dan perburuan li\xe2\x80\xa6 https://t.co/y1rvLy9djf',1394775817561939969,LectisteNeptune,0,Twitter for Android,0,[]
2021-05-17 17:52:28,"b'\xe3\x80\x88 Penebangan liar, mungkin hal seperti itu yang kerap terjadi di hutan. Sesuatu yang tidak bisa dibiarkan. Mungkin\xe2\x80\xa6 https://t.co/rRg8PvbdOK'",1394350115951837186,menaxher,0,Twitter for Android,0,[]
2021-05-17 11:39:00,b'@XALATVS penebangan liar',1394256132936409089,scawamouchie,0,Twitter for iPhone,0,[]
2021-05-16 09:54:00,b'Junimart Desak Siti Tegas Berantas Penebangan Liar\n\nhttps://t.co/ZnQcNdUg4Q #pdiperjuangan',1393867318699208706,GesuriID,0,TweetDeck,0,['pdiperjuangan']
2021-05-16 01:05:52,"b'Banjir Bandang Parapat, Junimart Girsang Desak Menteri LHK Siti Tegas Berantas Penebangan Liar di Kawasan Hutan Par\xe2\x80\xa6 https://t.co/MiuiXYTkBM'",1393734411229614083,BeritaSimalung1,0,Twitter Web App,0,[]
2021-05-14 17:30:18,"b'Banjir di Parapat, Menteri LHK Harus Evaluasi Izin Pinjam Pakai Hutan dan Usut Penebangan Liar https://t.co/zNnCYH9QA8'",1393257375600152583,beritaKLIIKID,0,IFTTT,0,[]
2021-05-13 16:45:08,b'https://t.co/lInVQz86pW\n\nDiduga kuat banjir disebabkan gundulnya hutan di kawasan Girsang Sipanganbolon akibat pene\xe2\x80\xa6 https://t.co/wKdk4xMTFJ',1392883621099278341,AkuruchOfficial,0,Twitter for Android,0,[]
2021-05-13 13:25:38,b'Penebangan Liar Penyebab Banjir Bandang - Longsor di Parapat\n\n https://t.co/FXdNHWrvrI',1392833415326552069,KuretaID,0,Twitter for Android,0,[]
2021-05-11 21:53:13,"b'RT @BNGPY: @sayfun_niam @SantorinisSun Dan itulah sumber masalahnya, berharap hukum tegak dulu baru mau patuh. Ditilang, nyuruh polisi ngur\xe2\x80\xa6'",1392236378499342338,dmwsdq,4,Twitter for Android,1,[]
2021-05-11 16:32:19,"b'RT @BNGPY: @sayfun_niam @SantorinisSun Dan itulah sumber masalahnya, berharap hukum tegak dulu baru mau patuh. Ditilang, nyuruh polisi ngur\xe2\x80\xa6'",1392155619642077193,ddiannss,4,Twitter for iPhone,1,[]
2021-05-11 16:27:57,"b'RT @BNGPY: @sayfun_niam @SantorinisSun Dan itulah sumber masalahnya, berharap hukum tegak dulu baru mau patuh. Ditilang, nyuruh polisi ngur\xe2\x80\xa6'",1392154520369524739,kisbet_,4,Twitter for iPhone,1,[]
