Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-19 02:22:50,b'@xiluxba penebangan hutan',1394840945380585472,Ahmad_Fiveth,0,Twitter for Android,0,[]
2021-05-18 22:04:03,b'\xc2\xa9 misi yang harus ia emban. Apanya yang melindungi hutan? Apanya yang menghentikan aksi penebangan dan perburuan li\xe2\x80\xa6 https://t.co/y1rvLy9djf',1394775817561939969,LectisteNeptune,0,Twitter for Android,0,[]
2021-05-18 21:18:20,"b'Jika penebangan hutan terus dilakukan, maka pada 2040 laut di Kutub Utara akan mengalami musim panas pertama tanpa es sama sekali.'",1394764313303261189,FreeHafis1,0,twittbot.net,0,[]
2021-05-18 08:55:06,"b'Hampir separuh dari semua jenis flora, fauna dan mikro organisme akan musnah atau pasti terancam kepunahan dalam se\xe2\x80\xa6 https://t.co/xq31m6VLeA'",1394577274284871682,GLkaskus,0,twittbot.net,0,[]
2021-05-17 17:52:28,"b'\xe3\x80\x88 Penebangan liar, mungkin hal seperti itu yang kerap terjadi di hutan. Sesuatu yang tidak bisa dibiarkan. Mungkin\xe2\x80\xa6 https://t.co/rRg8PvbdOK'",1394350115951837186,menaxher,0,Twitter for Android,0,[]
2021-05-17 15:19:26,"b'Jika penebangan hutan terus dilakukan, maka pada 2040 laut di Kutub Utara akan mengalami musim panas pertama tanpa es sama sekali.'",1394311605521842176,FreeHafis1,0,twittbot.net,0,[]
2021-05-17 15:12:46,"b'Jelas itu bukan sesuatu yang bagus. Siapa yang tahu, seseorang bisa saja melakukan penebangan pohon tanpa izin di h\xe2\x80\xa6 https://t.co/ggeoGTIkYK'",1394309925975650304,lunagetic,0,Twitter for Android,0,[]
2021-05-17 12:07:36,b'Ditulis oleh penulis luar Jawa dan karakter utamanya juga dari luar Jawa. Terus novel ini memperkenalkan logat Bali\xe2\x80\xa6 https://t.co/Br99GKEKmI',1394263328239669254,velosheraptor,0,Twitter for iPad,0,[]
2021-05-17 11:01:08,"b'@ErSat_Arema Ho oh pesat banget,hambalang sukses,jln lintas jabotabek hampir selesai,sisa2 bangunan mangkrak selesa\xe2\x80\xa6 https://t.co/mmDcIVMFHe'",1394246601489608707,Putragnkidul1,0,Twitter for Android,0,[]
2021-05-17 06:11:03,b'@gyulthingy Biasa penebangan hutan',1394173599951458304,kesyoun,0,Twitter for iPhone,0,[]
