Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-19 09:45:04,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394952234903900160,whoisizzvh,129,Twitter for iPhone,1,[]
2021-05-19 07:45:29,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394922139497553922,ren_kaos,129,Twitter for Android,1,[]
2021-05-19 07:29:21,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394918079050649607,lailahibiscus,129,Twitter for Android,1,[]
2021-05-19 06:48:13,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394907729819365377,MZhafranAslam,129,Twitter for Android,1,[]
2021-05-19 06:14:14,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394899176131940355,bachok_ahmad,129,Twitter for Android,1,[]
2021-05-19 05:43:32,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394891450731569153,mfaizmohamadx,129,Twitter for iPhone,1,[]
2021-05-19 05:33:44,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394888986309525506,ndybry,129,Twitter for Android,1,[]
2021-05-19 05:25:48,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394886990248611842,dogufaito,129,Twitter for Android,1,[]
2021-05-19 05:13:37,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394883923520364547,Mark_Markgraf,129,Twitter Web App,1,[]
2021-05-19 05:08:24,b'RT @1Obefiend: \xe2\x80\x9cKalau betul orang Israel benci serangan Gaza kenapa mereka tak demo bantah?\xe2\x80\x9d\n\nBro kita dekat Malaysia benci pembalakan dan\xe2\x80\xa6',1394882609377792000,ohhhlaraaaa,129,Twitter for Android,1,[]
